m_name,depth,t_creation,t_serialization,t_deserialization,mem,serialized_size
pydantic,53,0.05,0.027,0.0682,30.22,1.06
dataclass,53,0.0094,0.0063,0.0054,2.02,0.71
msgspec,54,0.005,0.0021,0.0032,2.4,0.72
pydantic,54,0.0513,0.0308,0.0699,29.84,1.08
dataclass,54,0.0115,0.0059,0.0052,2.01,0.72
msgspec,55,0.0048,0.0019,0.0031,2.52,0.74
pydantic,55,0.0495,0.0274,0.0713,30.21,1.1
dataclass,55,0.0107,0.006,0.0055,2.16,0.74
msgspec,56,0.0044,0.002,0.0037,2.51,0.75
pydantic,56,0.0535,0.03,0.0782,30.48,1.12
dataclass,56,0.013,0.0074,0.0065,2.43,0.75
msgspec,57,0.0049,0.0022,0.0033,2.45,0.76
pydantic,57,0.0562,0.0317,0.0724,31.66,1.14
dataclass,57,0.0109,0.0101,0.0073,2.5,0.76
msgspec,58,0.006,0.0021,0.0034,1.53,0.78
pydantic,58,0.0551,0.029,0.0713,32.98,1.16
dataclass,58,0.0111,0.0066,0.0054,1.82,0.78
msgspec,59,0.0046,0.0021,0.0034,2.56,0.79
pydantic,59,0.0544,0.0307,0.1016,33.58,1.18
dataclass,59,0.01,0.0064,0.0056,1.95,0.79
msgspec,60,0.0041,0.002,0.0036,2.6,0.8
pydantic,60,0.0551,0.0298,0.0757,34.7,1.2
dataclass,60,0.0126,0.007,0.0056,1.8,0.8
msgspec,61,0.0046,0.0031,0.0041,2.61,0.82
pydantic,61,0.0541,0.0313,0.0754,34.62,1.22
dataclass,61,0.0113,0.0072,0.0058,2.26,0.82
msgspec,62,0.0042,0.0023,0.0041,2.57,0.83
pydantic,62,0.0568,0.0317,0.0782,35.28,1.24
dataclass,62,0.0119,0.0075,0.006,1.78,0.83
msgspec,63,0.0044,0.0025,0.0036,2.57,0.84
pydantic,63,0.0592,0.0329,0.0819,35.67,1.26
dataclass,63,0.0116,0.008,0.006,2.0,0.84
msgspec,64,0.005,0.0024,0.0037,2.6,0.86
pydantic,64,0.0601,0.0327,0.0803,36.5,1.28
dataclass,64,0.012,0.0075,0.0061,1.9,0.86
msgspec,65,0.0045,0.0023,0.0047,2.62,0.87
pydantic,65,0.08,0.033,0.0845,36.96,1.3
dataclass,65,0.0114,0.0078,0.0066,1.92,0.87
msgspec,66,0.0049,0.0024,0.0038,1.63,0.88
pydantic,66,0.0809,0.0328,0.0837,37.84,1.32
dataclass,66,0.0127,0.0082,0.0065,1.91,0.88
msgspec,67,0.0049,0.0025,0.0039,3.56,0.9
pydantic,67,0.0815,0.0332,0.0821,35.0,1.34
dataclass,67,0.0114,0.0084,0.0067,3.11,0.9
msgspec,68,0.0049,0.0021,0.004,0.97,0.91
pydantic,68,0.085,0.0348,0.0866,35.74,1.36
dataclass,68,0.0124,0.0082,0.0083,1.85,0.91
msgspec,69,0.0047,0.0028,0.005,1.05,0.92
pydantic,69,0.0837,0.0354,0.0871,36.14,1.38
dataclass,69,0.0132,0.0079,0.0074,3.01,0.92
msgspec,70,0.005,0.0026,0.0045,0.97,0.94
pydantic,70,0.0903,0.0439,0.0993,35.45,1.4
dataclass,70,0.012,0.0084,0.0072,-0.79,0.94
msgspec,71,0.0049,0.0026,0.0058,1.03,0.95
pydantic,71,0.0844,0.0376,0.0889,39.01,1.42
dataclass,71,0.0121,0.0087,0.0143,-0.0,0.95
msgspec,72,0.0064,0.003,0.0054,1.01,0.96
pydantic,72,0.083,0.035,0.0908,39.53,1.44
dataclass,72,0.0144,0.0094,0.0137,3.51,0.96
msgspec,73,0.0064,0.0025,0.0095,0.02,0.98
pydantic,73,0.0849,0.0383,0.1003,37.84,1.46
dataclass,73,0.0127,0.0086,0.0133,3.08,0.98
msgspec,74,0.0052,0.0023,0.0097,1.03,0.99
pydantic,74,0.0859,0.037,0.0924,39.01,1.48
dataclass,74,0.0129,0.0097,0.0154,3.08,0.99
msgspec,75,0.0093,0.0029,0.0055,1.1,1.0
pydantic,75,0.0868,0.0369,0.0929,40.02,1.5
dataclass,75,0.0139,0.0127,0.0102,0.29,1.0
msgspec,76,0.0084,0.0025,0.0045,3.72,1.02
pydantic,76,0.0995,0.0391,0.0945,41.23,1.52
dataclass,76,0.0141,0.0122,0.0099,3.52,1.02
msgspec,77,0.0085,0.0024,0.0045,1.09,1.03
pydantic,77,0.0872,0.0428,0.0965,41.95,1.54
dataclass,77,0.0194,0.0086,0.009,3.02,1.03
msgspec,78,0.0102,0.0022,0.0047,1.09,1.04
pydantic,78,0.0888,0.0387,0.0975,42.62,1.56
dataclass,78,0.0185,0.0094,0.0076,3.06,1.04
msgspec,79,0.0103,0.0023,0.0046,1.09,1.06
pydantic,79,0.0888,0.039,0.0977,44.41,1.58
dataclass,79,0.0195,0.0091,0.0076,3.05,1.06
msgspec,80,0.0083,0.0027,0.0047,1.09,1.07
pydantic,80,0.0895,0.0413,0.1007,44.64,1.6
dataclass,80,0.0193,0.0095,0.0076,0.33,1.07
