m_name,n_args,t_creation,t_serialization,mem
dataclass,94,1.3799,0.2083,866.76
msgspec,95,1.3468,0.202,863.73
pydantic,95,1.8018,0.6283,948.95
dataclass,95,1.3579,0.2095,869.07
msgspec,96,1.3522,0.2014,865.1
pydantic,96,1.8558,0.6316,950.79
dataclass,96,1.3797,0.2099,874.18
msgspec,97,1.378,0.2036,868.49
pydantic,97,1.8228,0.6336,948.73
dataclass,97,1.3945,0.223,867.05
msgspec,98,1.3731,0.2024,864.93
pydantic,98,1.8769,0.6391,952.76
dataclass,98,1.413,0.2155,873.62
msgspec,99,1.4037,0.2067,872.25
pydantic,99,2.1759,0.9555,960.22
dataclass,99,2.0141,0.2759,879.2
msgspec,100,1.8909,0.2718,876.23
pydantic,100,2.8048,0.8851,964.05
dataclass,100,1.4575,0.218,885.81
